gender,age,birth_year,race,immigrant_status,marital_status,child_number,age_first_marriage,age_first_childbirth,education,occupation,income,health_work_difficulty,profile_id
Male,35,1944,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,23.0,24.0,College and above,Professional Specialty Occupations,20005.0,Health doesn't affect work,57
Male,60,1919,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,,Less than high school,"Farming, Forestry, and Fishing Occupations",0.0,Health affects work,58
Male,80,1900,Black,Non-immigrant,Married,0.0,30.0,52.0,Less than high school,"Operators, Fabricators, and Laborers",14440.0,Health doesn't affect work,59
Male,60,1919,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,21.0,,Less than high school,,13370.0,Health affects work,60
Female,33,1946,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,23.0,27.0,High school,Managerial Occupations,15005.0,Health doesn't affect work,61
Female,0,1979,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,62
Male,53,1927,Black,Non-immigrant,Married,0.0,40.0,32.0,High school,"Operators, Fabricators, and Laborers",16210.0,Health doesn't affect work,63
Female,63,1917,"Non-Black, Non-Hispanic",Non-immigrant,Married,4.0,25.0,,High school,Clerical and Administrative Support Occupations,15150.0,Health doesn't affect work,64
Male,13,1966,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,65
Male,62,1917,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,,High school,"Operators, Fabricators, and Laborers",20660.0,Health doesn't affect work,66
Male,34,1946,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,23.0,27.0,High school,"Precision Production, Craft, and Repair Occupations",26705.0,Health doesn't affect work,67
Female,32,1947,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,18.0,21.0,High school,Clerical and Administrative Support Occupations,15005.0,Health doesn't affect work,68
Male,29,1950,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,,College and above,Sales Occupations,16460.0,Health doesn't affect work,69
Female,52,1927,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Clerical and Administrative Support Occupations,15845.0,Health doesn't affect work,70
Male,37,1943,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,23.0,25.0,High school,"Operators, Fabricators, and Laborers",12505.0,Health doesn't affect work,71
Male,75,1904,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,23.0,,Less than high school,,7765.0,Health doesn't affect work,72
Male,47,1932,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,25.0,36.0,High school,Service Occupations,11055.0,Health doesn't affect work,73
