gender,age,birth_year,race,immigrant_status,marital_status,child_number,age_first_childbirth,education,occupation,income,profile_id
Female,41.0,1977.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,6.0,19.0,High school,Service occupations,,176
Female,55.0,1963.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,24.0,High school,Sales and office occupations,,177
Female,35.0,1983.0,Black,Non-immigrant,Single,2.0,18.0,High school,"Production, transportation, and material moving occupations",,178
Male,23.0,1995.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Sales and office occupations,,179
Female,76.0,1942.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,4.0,19.0,College and above,Service occupations,,180
Female,49.0,1969.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,5.0,17.0,College and above,"Management, professional, and related occupations",,181
Female,67.0,1951.0,Black,Non-immigrant,Single,3.0,35.0,Less than high school,Sales and office occupations,,182
Female,25.0,1993.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,24.0,College and above,Service occupations,,183
Male,86.0,1932.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,1.0,30.0,College and above,Sales and office occupations,,184
Female,60.0,1958.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,44.0,College and above,"Production, transportation, and material moving occupations",,185
Male,,,Hispanic,Non-immigrant,Married,,,College and above,"Management, professional, and related occupations",,186
Male,38.0,1980.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,4.0,17.0,High school,"Production, transportation, and material moving occupations",,187
Male,46.0,1972.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,22.0,College and above,"Production, transportation, and material moving occupations",,188
Male,53.0,1965.0,Black,Non-immigrant,Married,3.0,21.0,High school,"Production, transportation, and material moving occupations",,189
Male,33.0,1985.0,Hispanic,Immigrant,Single,0.0,,High school,"Production, transportation, and material moving occupations",,190
Male,27.0,1991.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,26.0,College and above,Sales and office occupations,,191
Female,61.0,1957.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,20.0,College and above,"Management, professional, and related occupations",,192
Male,78.0,1940.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,30.0,College and above,Sales and office occupations,,193
Male,31.0,1987.0,Hispanic,Non-immigrant,Married,3.0,20.0,High school,"Natural resources, construction, and maintenance occupations",,194
Female,51.0,1967.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,17.0,College and above,"Management, professional, and related occupations",,195
